NEF FUNDED BUSINESSES — PUBLIC INTEREST ANALYSIS,,,,,,,,,,,
Source: Parliamentary Question 705 (PQ705) — Mr RWC Chance (DA) | Data from dtic.gov.za,,,,,,,,,,,
"Analysis of National Empowerment Fund (NEF) loan, grant, and disbursement data across all 9 South African provinces",,,,,,,,,,,
,,,,,,,,,,,
KEY METRICS,,,,,,,,,,,
Total Companies,Total Jobs Supported,Total Loans (ZAR),Total Grants (ZAR),Total Disbursed (ZAR),Avg Loan per Company,Avg Jobs per Company,Cost per Job (ZAR),,,,
392,"31,654","R3,516,172,591","R194,763,000","R3,596,404,994","R8,969,828",80.8,"R113,616",,,,
,,,,,,,,,,,
PROVINCIAL BREAKDOWN,,,,,,,,,,Province,Jobs
Province,No. of Deals,Total Disbursed (ZAR),Total Jobs,Avg Disbursed/Deal,Avg Jobs/Deal,Cost per Job (ZAR),% of Total Disbursed,% of Total Jobs,,Gauteng,"14,138"
8,Bibi Cash & Carry Superstore,Free State,785,"R27,700,000","R35,287",,,,,,
9,Salim Munshi Family Trust,KwaZulu-Natal,613,"R38,700,000","R63,132",,,,,,
10,Ubettina Wethu C ompany (Pty) Ltd,Gauteng,593,"R5,000,000","R8,432",,,,,,
,,,,,,,,,,,
CONCENTRATION & EQUITY ANALYSIS,,,,,,,,,,,
Metric,Value,Why It Matters,,,,,,,,,
Deals under R1m — share of total deals,12.0%,Access to small/micro-enterprise funding,,,,,,,,,
Deals under R1m — share of total disbursed,0.7%,How much public money reaches the smallest businesses?,,,,,,,,,
Gauteng + KZN — share of total disbursed,55.9%,Geographic concentration — do two provinces dominate?,,,,,,,,,
Gauteng + KZN — share of total deals,65.6%,Deal flow concentration across provinces,,,,,,,,,
Companies with 10 or fewer jobs,21.4%,Share of NEF portfolio with minimal employment impact,,,,,,,,,
Median disbursement (ZAR),"R5,550,000",The 'typical' deal — more representative than the average,,,,,,,,,
Maximum single disbursement (ZAR),"R534,000,000",Largest single allocation of public funds,,,,,,,,,
Max vs Median ratio,96.2x,How skewed is the distribution of public funds?,,,,,,,,,
